Bekämpningsmedel;Produktnamn;Regnr;Skadedjur;Verksamma ämnen:;Dosering;Ska den läggs till på begone.se (JA/NEJ)
Biocidprodukt;Rozol Block Pro;5409;Råttor,Möss;Klorfacinon 0,005 vikt-%;25g/block;Ja
Biocidprodukt;TALON M;5636-01-01;Råttor,Möss;Brodifakum 0,0025 vikt-%;25g;Ja
Biocidprodukt;Talon Soft XT;5636-03-01;Råttor,Möss;Brodifakum 0,0025 vikt-%;20g;Ja
Biocidprodukt;Harmonix Rodent Paste;5788;Råttor,möss;Kolekalciferol 0,077 vikt-%;20g;Ja
Biocidprodukt;Ratimor Bromadiolone Blockbete;5443;Råttor,Möss;Bromadiolon 0,005 vikt-%;100g;Ja
Biocidprodukt;Racumin Foam;5792;Råttor,Möss;Kumatetralyl 0,4062 vikt-%;10ml;Ja
Biocidprodukt;Generation Grain Tech;5454;Råttor,Möss;Difetialon 0,0025 vikt-%;50g;Ja
Biocidprodukt;Racumin Expert;5789;Råttor,Möss;Kumatetralyl 0,0027 vikt-%;20g;Ja
Biocidprodukt;Notrac Super Size Blox;5472;Råttor,Möss;Bromadiolon 0,005 vikt-%;225g;Ja
Giftfritt;DETEX BLINDBLOCK;;Råttor,Möss;kontrollbete;20g;Ja
;;;;;;
Biocidprodukt;Advion Ant Gel;5285;Myror;Indoxakarb 0,11 vikt-%;0,25 g/punkt;Ja
Biocidprodukt;Advion Cockroach Gel;5286;Kackerlackor, Silverfisk;Indoxakarb 1,28 vikt-%;0,25 g/punkt;Ja
Biocidprodukt;Biopren Faraomyrbete;5349;Myror;S-metopren 0,5 vikt-%;2,5g;Ja
Biocidprodukt;Geting Effekt;4825;Getingar;Chrysanthemum cinerariaefolium, extrakt 0,42 vikt-%;10ml;Ja
Biocidprodukt;K-Othrine Partix;5785;Silverfisk, Pälsänger, Mjölbaggar, Klädesmal, Myror, Loppor, Flygande insekt;Deltametrin 2,49 vikt-%;25 ml;Ja
Biocidprodukt;Maxforce Platin;5557;Kackerlackor, Silverfisk;Klotianidin 1,026 vikt-%;0,25 g/punkt;Ja
Biocidprodukt;Maxforce Quantum;5979;Myror;Imidakloprid 0,03 vikt-%;0,25 g/punkt;Ja
Biocidprodukt;Maxforce Quantum Myrdosa;5797;Myror;Imidakloprid 0,031 vikt-%;2g;Ja
Biocidprodukt;MyrNIX powder;5754-01-01;Myror;Kiselgur 100 vikt-%;10g;Ja
Biocidprodukt;Myrr D;5356-01-02;Myror;Deltametrin 0,05 vikt-%;10g;Ja
Biocidprodukt;Swirr Insektsbarriär;5656;Myror;Acetamiprid 0,2 vikt-%;10ml;Ja
Biocidprodukt;Swirr Myrbete;5657;Myror;Acetamiprid 0,1 vikt-%;0,25 g/punkt;Ja
Biocidprodukt;Swirr Myrdosa;5658;Myror;Acetamiprid 0,1 vikt-%;5g;Ja
Biocidprodukt;Swirr Myrpuder;5655;Myror;Acetamiprid 0,2 vikt-%;10g;Ja
Biocidprodukt;VermiNIX;5754-06-01;Vägglöss, Myror, Pälsänger, Silverfisk, Krypande insekter;Kiselgur 100 vikt-%;10g;Ja
Biocidprodukt;Vespo X;5108;Getingar, Flugor, Flygande insekter;Chrysanthemum cinerariaefolium, extrakt 0,8 vikt-%;50ml;Ja
Biocidprodukt;AQUAPY;5798;Flygande insekter, Krypande insekter, Flugor;Chrysanthemum cinerariaefolium, extrakt 6 vikt-%;100ml;Ja
;;;;;;
Biocidprodukt;Protox Insekt Konc.;5752;Myror;Permetrin 2,15 vikt-%;100ml;Ja
;;;;;;
desinfektionsmedel;PROTOX HYSAN;;Sanering;;100ml;Nej
